334 beide 32462
335 denken 32332
336 jahren 32283
337 daran 31908
338 kam 31779
339 dazu 31717
340 gib 31576
341 würden 31483
342 verstehe 31221
343 deinem 31058
344 ihrem 30847
345 deiner 30844
346 wusste 30820
347 könnten 30743
348 fall 30735
349 lieber 30660
350 eigentlich 30446
351 bekommen 30412
352 jeden 30306
353 sieh 30300
354 dank 30257
355 vergessen 30171
356 kennen 30103
357 mag 30060
358 sehe 29963
359 frage 29796
360 gern 29788
361 komme 29593
362 stadt 29590
363 sage 29204
364 kopf 29159
365 männer 29061
366 egal 28936
367 letzte 28922
368 namen 28879
369 gab 28744
370 kleine 28720
371 mache 28654
372 töten 28571
373 fahren 28565
374 all 28366
375 n 28273
376 später 28272
377 uhr 28149
378 ende 28065
379 baby 27935
380 gehe 27758
381 glück 27747
382 dinge 27590
383 freunde 27436
384 bisschen 27343
385 sterben 27336
386 darauf 27177
387 bald 27064
388 minuten 26971
389 echt 26844
390 bereit 26763
391 eins 26732
392 augen 26715
393 runter 26479
394 jungs 26356
395 seiner 26344
396 polizei 26127
397 auto 26062
398 eure 25995
399 vielen 25958
400 stehen 25905
401 weit 25733
402 meinst 25717
403 draußen 25700
404 tür 25683
405 dad 25677
406 wurden 25385
407 verrückt 24992
408 kerl 24963
409 hätten 24941
410 einzige 24839
411 vorbei 24833
412 treffen 24548
413 ganzen 24536
414 hi 24421
415 ahnung 24386
416 teufel 24377
417 kenne 24293
418 hinter 24261
419 fast 24181
420 name 24087
421 arbeiten 24085
422 gerne 24082
423 dran 24013
424 neue 23809
425 ziemlich 23673
426 ruhig 23596
427 ging 23577
428 sorgen 23565
429 verstanden 23556
430 tochter 23504
431 toll 23432
432 jemanden 23411
433 sogar 23348
434 überhaupt 23328
435 he 23276
436 spät 23219
437 hört 23167
438 frauen 23141
439 hand 23136
440 drin 23127
441 schau 23112
442 nimm 23056
443 seinem 23006
444 mama 22979
445 lang 22946
446 solltest 22899
447 verloren 22883
448 art 22847
449 sah 22811
450 verstehen 22808
451 große 22802
452 darum 22792
453 denkst 22733
454 job 22720
455 ruhe 22714
456 braucht 22695
457 woher 22618
458 spielen 22616
459 idee 22558
460 suchen 22456
461 je 22392
462 kommst 22374
463 liegt 22368
464 grund 22293
465 versuchen 22259
466 jahr 22128
467 gekommen 22127
468 wasser 22015
469 gewesen 21982
470 endlich 21948
471 schwester 21916
472 keiner 21913
473 wenig 21865
474 tod 21854
475 versucht 21844
476 oben 21843
477 letzten 21748
478 geschichte 21694
479 erste 21584
480 alter 21582
481 kurz 21578
482 bedeutet 21519
483 niemals 21495
484 ah 21383
485 fünf 21360
486 welche 21242
487 hoch 21240
488 etwa 21171
489 erzählt 21145
490 finde 21135
491 land 20995
492 lasst 20971
493 bringt 20892
494 getötet 20834
495 stunden 20816
496 holen 20791
497 schwer 20741
498 lässt 20687
499 verlassen 20653
500 anders 20560
501 hoffe 20510
502 gestern 20504
503 musste 20477
504 wahrheit 20416
505 vier 20265
506 sagst 20142
507 mom 20135
508 ort 19952
509 läuft 19932
510 zimmer 19888
511 während 19849
512 captain 19846
513 deshalb 19841
514 seite 19837
515 würdest 19810
516 glaubst 19796
517 krieg 19748
518 zeigen 19694
519 gefallen 19663
520 spiel 19649
521 bleibt 19603
522 woche 19602
523 unserer 19595
524 nett 19593
525 denen 19513
526 bestimmt 19446
527 zwischen 19369
528 wagen 19361
529 kleinen 19313
530 the 19298
531 guter 19252
532 schatz 19218
533 schuld 19103
534 erzählen 19084
535 ersten 19078
536 dies 19022
537 spaß 19020
538 tage 18999
539 nehme 18956
540 manchmal 18931
541 beste 18908
542 gehst 18785
543 chance 18641
544 entschuldigung 18616
545 anderes 18492
546 schlecht 18478
547 wollten 18439
548 äh 18414
549 ernst 18369
550 sachen 18334
551 eben 18316
552 schlafen 18283
553 gefällt 18282
554 entschuldigen 18281
555 bett 18232
556 wort 18163
557 allen 18129
558 gesicht 18095
559 typ 18066
560 unten 18005
561 mensch 17915
562 freundin 17902
563 miss 17885
564 kleiner 17819
565 hättest 17799
566 teil 17740
567 tu 17679
568 trinken 17564
569 einige 17522
570 wären 17436
571 bleib 17387
572 beiden 17358
573 herz 17286
574 papa 17256
575 stellen 17230
576 wichtig 17156
577 euer 17109
578 blut 17101
579 schule 17000
580 bloß 16976
581 john 16940
582 neuen 16877
583 wiedersehen 16819
584 unseren 16817
585 glücklich 16738
586 jack 16736
587 frei 16630
588 ding 16615
589 gedacht 16604
590 tust 16603
591 scheint 16567
592 arsch 16510
593 oft 16458
594 wohin 16447
595 alt 16420
596 alte 16303
597 waffe 16296
598 sorge 16271
599 fest 16261
600 platz 16193
601 eltern 16182
602 kriegen 16094
603 daß 16054
604 wen 16039
605 möglich 15984
606 drauf 15969
607 falls 15947
608 irgendwie 15895
609 jungen 15680
610 besten 15642
611 alten 15591
612 nummer 15580
613 wahrscheinlich 15579
614 dollar 15540
615 brauchst 15533
616 ehrlich 15525
617 hierher 15512
618 irgendwas 15497
619 setzen 15470
620 zuerst 15469
621 falsch 15452
622 reicht 15417
623 menge 15400
624 bereits 15375
625 bring 15352
626 jede 15339
627 hölle 15326
628 pass 15216
629 außer 15213
630 früher 15141
631 rede 15130
632 großen 15105
633 hände 14989
634 wollt 14904
635 gegeben 14892
636 telefon 14890
637 kennst 14882
638 wartet 14832
639 schiff 14823
640 früh 14800
641 sondern 14747
642 scheiß 14646
643 tue 14643
644 willkommen 14607
645 kaum 14597
646 doktor 14589
647 lieben 14463
648 fehler 14412
649 retten 14386
650 stunde 14369
651 meines 14363
652 dürfen 14308
653 sechs 14308
654 plan 14259
655 klingt 14196
656 hund 14109
657 zehn 14088
658 nächste 14081
659 nächsten 14065
660 langsam 14044
661 gebe 13996
662 allem 13965
663 film 13924
664 ruf 13806
665 wochen 13776
666 geworden 13747
667 schaffen 13727
668 wär 13717
669 überall 13690
670 voll 13655
671 feuer 13645
672 alleine 13565
673 büro 13548
674 direkt 13535
675 kumpel 13439
676 trotzdem 13429
677 hm 13384
678 erinnern 13299
679 lernen 13275
680 laufen 13257
681 denkt 13211
682 könig 13182
683 new 13135
684 tat 13117
685 nennen 13082
686 kleines 13065
687 wem 13054
688 eigenen 12965
689 aufhören 12953
690 könnt 12945
691 deswegen 12837
692 danach 12820
693 verlieren 12804
694 neues 12801
695 völlig 12783
696 hattest 12773
697 leider 12743
698 hol 12732
699 seht 12722
700 luft 12707
701 stelle 12643
702 ziehen 12612
703 funktioniert 12591
704 verstehst 12590
705 verschwinden 12579
706 heiraten 12434
707 wolltest 12431
708 unserem 12405
709 spricht 12389
710 entschuldige 12376
711 jedes 12359
712 probleme 12343
713 lebt 12311
714 könntest 12298
715 versuche 12262
716 groß 12250
717 gebracht 12239
718 krank 12239
719 gegangen 12202
720 wow 12195
721 kaffee 12186
722 straße 12160
723 froh 12146
724 genommen 12129
725 fühle 12101
726 wert 12067
727 rufen 12056
728 erde 12050
729 richtige 12021
730 suche 12003
731 buch 11909
732 stück 11906
733 getroffen 11899
734 lch 11855
735 tagen 11828
736 nochmal 11809
737 nachdem 11797
738 möchten 11784
739 arzt 11773
740 typen 11734
741 fand 11723
742 vertrauen 11704
743 sam 11698
744 drüben 11691
745 himmel 11687
746 erklären 11686
747 interessiert 11650
748 irgendwo 11607
749 nachricht 11590
750 glaub 11559
751 tja 11523
752 gutes 11502
753 onkel 11488
754 spielt 11488
755 genauso 11440
756 geschafft 11434
757 großer 11424
758 waffen 11413
